变量,变量名称,一级类别,二级类别,三级类别,来源模块,代码语言,时间窗口,来源函数,输入字段,缺失值取值,衍生过程
bank_txn_income_centrelink_3rdparty_familybenefits_trend_slope_84d,近84天政府福利收入-家庭福利-趋势斜率,收入能力,趋势分析,收入能力-趋势分析,txn_income_v1_1,Python,近84天,third_party_trend_slope,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_trend_slope(近84天) -> bank_txn_income_centrelink_3rdparty_familybenefits_trend_slope_84d
bank_txn_income_centrelink_3rdparty_jobseeker_1m_vs_3m,政府福利收入-JobSeeker求职津贴-1月与3月均值之比,收入能力,窗口对比分析,收入能力-窗口对比分析,txn_income_v1_1,Python,全历史/无固定窗口,third_party_amount_comparison,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount_comparison(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_jobseeker_1m_vs_3m
bank_txn_income_centrelink_3rdparty_jobseeker_3m_vs_6m,政府福利收入-JobSeeker求职津贴-3月与6月均值之比,收入能力,窗口对比分析,收入能力-窗口对比分析,txn_income_v1_1,Python,全历史/无固定窗口,third_party_amount_comparison,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount_comparison(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_jobseeker_3m_vs_6m
bank_txn_income_centrelink_3rdparty_jobseeker_count_14d,近14天政府福利收入-JobSeeker求职津贴次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近14天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近14天) -> bank_txn_income_centrelink_3rdparty_jobseeker_count_14d
bank_txn_income_centrelink_3rdparty_jobseeker_count_168d,近168天政府福利收入-JobSeeker求职津贴次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近168天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近168天) -> bank_txn_income_centrelink_3rdparty_jobseeker_count_168d
bank_txn_income_centrelink_3rdparty_jobseeker_count_182d,近182天政府福利收入-JobSeeker求职津贴次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近182天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近182天) -> bank_txn_income_centrelink_3rdparty_jobseeker_count_182d
bank_txn_income_centrelink_3rdparty_jobseeker_count_28d,近28天政府福利收入-JobSeeker求职津贴次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近28天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近28天) -> bank_txn_income_centrelink_3rdparty_jobseeker_count_28d
bank_txn_income_centrelink_3rdparty_jobseeker_count_56d,近56天政府福利收入-JobSeeker求职津贴次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近56天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近56天) -> bank_txn_income_centrelink_3rdparty_jobseeker_count_56d
bank_txn_income_centrelink_3rdparty_jobseeker_count_7d,近7天政府福利收入-JobSeeker求职津贴次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近7天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近7天) -> bank_txn_income_centrelink_3rdparty_jobseeker_count_7d
bank_txn_income_centrelink_3rdparty_jobseeker_count_84d,近84天政府福利收入-JobSeeker求职津贴次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近84天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近84天) -> bank_txn_income_centrelink_3rdparty_jobseeker_count_84d
bank_txn_income_centrelink_3rdparty_jobseeker_cv_14d,近14天政府福利收入-JobSeeker求职津贴变异系数,收入能力,基础统计-变异系数,收入能力-基础统计-变异系数,txn_income_v1_1,Python,近14天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近14天) -> bank_txn_income_centrelink_3rdparty_jobseeker_cv_14d
bank_txn_income_centrelink_3rdparty_jobseeker_cv_168d,近168天政府福利收入-JobSeeker求职津贴变异系数,收入能力,基础统计-变异系数,收入能力-基础统计-变异系数,txn_income_v1_1,Python,近168天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近168天) -> bank_txn_income_centrelink_3rdparty_jobseeker_cv_168d
bank_txn_income_centrelink_3rdparty_jobseeker_cv_182d,近182天政府福利收入-JobSeeker求职津贴变异系数,收入能力,基础统计-变异系数,收入能力-基础统计-变异系数,txn_income_v1_1,Python,近182天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近182天) -> bank_txn_income_centrelink_3rdparty_jobseeker_cv_182d
bank_txn_income_centrelink_3rdparty_jobseeker_cv_28d,近28天政府福利收入-JobSeeker求职津贴变异系数,收入能力,基础统计-变异系数,收入能力-基础统计-变异系数,txn_income_v1_1,Python,近28天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近28天) -> bank_txn_income_centrelink_3rdparty_jobseeker_cv_28d
bank_txn_income_centrelink_3rdparty_jobseeker_cv_56d,近56天政府福利收入-JobSeeker求职津贴变异系数,收入能力,基础统计-变异系数,收入能力-基础统计-变异系数,txn_income_v1_1,Python,近56天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近56天) -> bank_txn_income_centrelink_3rdparty_jobseeker_cv_56d
bank_txn_income_centrelink_3rdparty_jobseeker_cv_7d,近7天政府福利收入-JobSeeker求职津贴变异系数,收入能力,基础统计-变异系数,收入能力-基础统计-变异系数,txn_income_v1_1,Python,近7天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近7天) -> bank_txn_income_centrelink_3rdparty_jobseeker_cv_7d
bank_txn_income_centrelink_3rdparty_jobseeker_cv_84d,近84天政府福利收入-JobSeeker求职津贴变异系数,收入能力,基础统计-变异系数,收入能力-基础统计-变异系数,txn_income_v1_1,Python,近84天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近84天) -> bank_txn_income_centrelink_3rdparty_jobseeker_cv_84d
bank_txn_income_centrelink_3rdparty_jobseeker_growth_rate_max,政府福利收入-JobSeeker求职津贴-最大增长率,收入能力,增长率分析,收入能力-增长率分析,txn_income_v1_1,Python,全历史/无固定窗口,third_party_growth_rates,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_growth_rates(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_jobseeker_growth_rate_max
bank_txn_income_centrelink_3rdparty_jobseeker_growth_rate_min,政府福利收入-JobSeeker求职津贴-最小增长率,收入能力,增长率分析,收入能力-增长率分析,txn_income_v1_1,Python,全历史/无固定窗口,third_party_growth_rates,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_growth_rates(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_jobseeker_growth_rate_min
bank_txn_income_centrelink_3rdparty_jobseeker_interval_gap_30_count,政府福利收入-JobSeeker求职津贴-超过30天间隔次数,收入能力,时间间隔分析,收入能力-时间间隔分析,txn_income_v1_1,Python,全历史/无固定窗口,third_party_interval,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_interval(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_jobseeker_interval_gap_30_count
bank_txn_income_centrelink_3rdparty_jobseeker_interval_max,政府福利收入-JobSeeker求职津贴-最大日期间隔,收入能力,时间间隔分析,收入能力-时间间隔分析,txn_income_v1_1,Python,全历史/无固定窗口,third_party_interval,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_interval(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_jobseeker_interval_max
bank_txn_income_centrelink_3rdparty_jobseeker_interval_std,政府福利收入-JobSeeker求职津贴-日期间隔标准差,收入能力,时间间隔分析,收入能力-时间间隔分析,txn_income_v1_1,Python,全历史/无固定窗口,third_party_interval,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_interval(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_jobseeker_interval_std
bank_txn_income_centrelink_3rdparty_jobseeker_latest_amount,政府福利收入-JobSeeker求职津贴-最新金额,收入能力,基础统计-最新值,收入能力-基础统计-最新值,txn_income_v1_1,Python,全历史/无固定窗口,third_party_latest_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_latest_amount(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_jobseeker_latest_amount
bank_txn_income_centrelink_3rdparty_jobseeker_latest_vs_3m,政府福利收入-JobSeeker求职津贴-最新与3月均值之比,收入能力,窗口对比分析,收入能力-窗口对比分析,txn_income_v1_1,Python,全历史/无固定窗口,third_party_amount_comparison,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount_comparison(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_jobseeker_latest_vs_3m
bank_txn_income_centrelink_3rdparty_jobseeker_max_14d,近14天政府福利收入-JobSeeker求职津贴最大值,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近14天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近14天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_14d
bank_txn_income_centrelink_3rdparty_jobseeker_max_168d,近168天政府福利收入-JobSeeker求职津贴最大值,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近168天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近168天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_168d
bank_txn_income_centrelink_3rdparty_jobseeker_max_182d,近182天政府福利收入-JobSeeker求职津贴最大值,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近182天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近182天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_182d
bank_txn_income_centrelink_3rdparty_jobseeker_max_28d,近28天政府福利收入-JobSeeker求职津贴最大值,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近28天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近28天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_28d
bank_txn_income_centrelink_3rdparty_jobseeker_max_56d,近56天政府福利收入-JobSeeker求职津贴最大值,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近56天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近56天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_56d
bank_txn_income_centrelink_3rdparty_jobseeker_max_7d,近7天政府福利收入-JobSeeker求职津贴最大值,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近7天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近7天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_7d
bank_txn_income_centrelink_3rdparty_jobseeker_max_84d,近84天政府福利收入-JobSeeker求职津贴最大值,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近84天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近84天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_84d
bank_txn_income_centrelink_3rdparty_jobseeker_max_consecutive_months,政府福利收入-JobSeeker求职津贴-最长连续月数,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,全历史/无固定窗口,third_party_max_consecutive_months,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_max_consecutive_months(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_consecutive_months
bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_14d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近14天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近14天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_14d
bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_168d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近168天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近168天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_168d
bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_182d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近182天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近182天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_182d
bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_28d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近28天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近28天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_28d
bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_56d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近56天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近56天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_56d
bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_7d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近7天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近7天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_7d
bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_84d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近84天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近84天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_consumption_rate_84d
bank_txn_income_centrelink_3rdparty_jobseeker_max_daily_consumption_7d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-最大值,收入能力-基础统计-最大值,txn_income_v1_1,Python,近7天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近7天) -> bank_txn_income_centrelink_3rdparty_jobseeker_max_daily_consumption_7d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_14d,近14天政府福利收入-JobSeeker求职津贴均值,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近14天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近14天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_14d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_168d,近168天政府福利收入-JobSeeker求职津贴均值,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近168天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近168天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_168d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_182d,近182天政府福利收入-JobSeeker求职津贴均值,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近182天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近182天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_182d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_28d,近28天政府福利收入-JobSeeker求职津贴均值,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近28天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近28天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_28d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_56d,近56天政府福利收入-JobSeeker求职津贴均值,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近56天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近56天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_56d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_7d,近7天政府福利收入-JobSeeker求职津贴均值,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近7天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近7天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_7d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_84d,近84天政府福利收入-JobSeeker求职津贴均值,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近84天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近84天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_84d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_consumption_rate_14d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近14天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近14天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_consumption_rate_14d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_consumption_rate_168d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近168天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近168天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_consumption_rate_168d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_consumption_rate_182d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近182天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近182天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_consumption_rate_182d
bank_txn_income_centrelink_3rdparty_jobseeker_mean_consumption_rate_28d,政府福利收入-JobSeeker求职津贴-消费率,收入能力,基础统计-均值,收入能力-基础统计-均值,txn_income_v1_1,Python,近28天,third_party_consumption_rate,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_consumption_rate(近28天) -> bank_txn_income_centrelink_3rdparty_jobseeker_mean_consumption_rate_28d
